Entity,Code,Year,Population, original
Baden-Württemberg,,2024,57294,11238319
Bayern,,2024,58817,13212677
Berlin,,2024,54607,3673823
Brandenburg,,2024,37774,2555606
Bremen,,2024,59785,703768
Hamburg,,2024,84486,1857081
Hessen,,2024,57288,6274170
Mecklenburg-Vorpommern,,2024,37656,1575819
Niedersachsen,,2024,46706,8006312
Nordrhein-Westfalen,,2024,47916,18025987
Rheinland-Pfalz,,2024,44046,4127366
Saarland,,2024,42877,1013094
Sachsen,,2024,39667,4048556
Sachsen-Anhalt,,2024,36517,2140084
Schleswig-Holstein,,2024,42705,2956360
Thüringen,,2024,36942,2107574
