NAME_1,Code,Year,gdp
AndhraPradesh,,2015-16,604228.6195319999
ArunachalPradesh,,2015-16,18509.16
Assam,,2015-16,227958.82836413325
Bihar,,2015-16,371601.7901542762
Chhattisgarh,,2015-16,225162.99
Goa,,2015-16,55053.85314152223
Gujarat,,2015-16,1029009.7408125672
Haryana,,2015-16,495504.1064016296
HimachalPradesh,,2015-16,114239.40708921342
Jharkhand,,2015-16,206612.8
Karnataka,,2015-16,1045168.0997677989
Kerala,,2015-16,561993.6112846457
MadhyaPradesh,,2015-16,541067.51
Maharashtra,,2015-16,1966224.5795943553
Manipur,,2015-16,19530.67
Meghalaya,,2015-16,25117.36374083773
Mizoram,,2015-16,15138.856960778097
Nagaland,,2015-16,19523.949396
Odisha,,2015-16,328549.5029936412
Punjab,,2015-16,390087.44
Rajasthan,,2015-16,681482.25611
Sikkim,,2015-16,18033.94257129716
TamilNadu,,2015-16,1176500.031415976
Telangana,,2015-16,577902.0551910375
Tripura,,2015-16,35937.73
UttarPradesh,,2015-16,1137807.9408069921
Uttarakhand,,2015-16,177163.0225282832
WestBengal,,2015-16,797299.9486067505
AndamanandNicobar,,2015-16,6031.734889429159
Chandigarh,,2015-16,29275.078048364398
NCTofDelhi,,2015-16,550803.702398096
JammuandKashmir,,2015-16,117167.95243207287
Puducherry,,2015-16,26616.537907
