Entity,Code,Year,all years
Nederland,,1988,14714948
Nederland,,2000,15863950
Nederland,,2005,16305526
Nederland,,2019,17282163
Nederland,,2020,17407585
Groningen,,1988,556757
Groningen,,2000,562646
Groningen,,2005,575072
Groningen,,2019,583990
Groningen,,2020,585866
Friesland (Fryslân),,1988,599104
Friesland (Fryslân),,2000,624500
Friesland (Fryslân),,2005,642977
Friesland (Fryslân),,2019,647672
Friesland (Fryslân),,2020,649957
Drenthe,,1988,436586
Drenthe,,2000,469806
Drenthe,,2005,483369
Drenthe,,2019,492167
Drenthe,,2020,493682
Overijssel,,1988,1009997
Overijssel,,2000,1077625
Overijssel,,2005,1109432
Overijssel,,2019,1156431
Overijssel,,2020,1162406
Flevoland,,1988,193739
Flevoland,,2000,317206
Flevoland,,2005,365859
Flevoland,,2019,416546
Flevoland,,2020,423021
Gelderland,,1988,1783610
Gelderland,,2000,1919158
Gelderland,,2005,1972010
Gelderland,,2019,2071972
Gelderland,,2020,2085952
Utrecht,,1988,965229
Utrecht,,2000,1107849
Utrecht,,2005,1171291
Utrecht,,2019,1342158
Utrecht,,2020,1354834
Noord-Holland,,1988,2352888
Noord-Holland,,2000,2518354
Noord-Holland,,2005,2599103
Noord-Holland,,2019,2853359
Noord-Holland,,2020,2879527
Zuid-Holland,,1988,3208414
Zuid-Holland,,2000,3397744
Zuid-Holland,,2005,3458381
Zuid-Holland,,2019,3673893
Zuid-Holland,,2020,3708696
Zeeland,,1988,355501
Zeeland,,2000,371866
Zeeland,,2005,379978
Zeeland,,2019,383032
Zeeland,,2020,383488
Noord-Brabant,,1988,2156280
Noord-Brabant,,2000,2356004
Noord-Brabant,,2005,2411359
Noord-Brabant,,2019,2544806
Noord-Brabant,,2020,2562955
Limburg,,1988,1095424
Limburg,,2000,1141192
Limburg,,2005,1136695
Limburg,,2019,1116137
Limburg,,2020,1117201
