Entity,Code,Year,gdp
Anhui Province,,2024,710858
Beijing Municipality,,2024,699876
Chongqing Municipality,,2024,452044
Fujian Province,,2024,811056
Gansu province,,2024,182581
Guangdong Province,,2024,1988764
Guangxi Zhuang Autonomous Region,,2024,402283
Guizhou Province,,2024,318282
Hainan Province,,2024,111430
Hebei Province,,2024,667353
Heilongjiang Province,,2024,231362
Henan Province,,2024,892905
Hong Kong Special Administrative Region,,2024,406863
Hubei Province,,2024,842678
Hunan Province,,2024,747448
Inner Mongolia Autonomous Region,,2024,369499
Jiangsu Province,,2024,1923810
Jiangxi Province,,2024,480258
Jilin Province,,2024,201654
Liaoning Province,,2024,457934
Macao Special Administrative Region,,2024,50182
Ningxia Hui Autonomous Region,,2024,77268
Qinghai Province,,2024,55476
Shaanxi Province,,2024,499021
Shandong Province,,2024,1384021
Shanghai Municipality,,2024,757217
Shanxi Province,,2024,357986
Sichuan Province,,2024,908449
Taiwan Province,,2024,801495
Tianjin Municipality,,2024,253090
Tibet Autonomous Region,,2024,38824
Xinjiang Uygur Autonomous Region,,2024,288331
Yunnan Province,,2024,442789
Zhejiang Province,,2024,1265577
