Entity,Code,Year,electoral_college
Alabama,,2016,9
Alaska,,2016,3
Arizona,,2016,11
Arkansas,,2016,6
California,,2016,55
Colorado,,2016,9
Connecticut,,2016,7
Delaware,,2016,3
DistrictofColumbia,,2016,3
Florida,,2016,29
Georgia,,2016,16
Hawaii,,2016,4
Idaho,,2016,4
Illinois,,2016,20
Indiana,,2016,11
Iowa,,2016,6
Kansas,,2016,6
Kentucky,,2016,8
Louisiana,,2016,8
Maine,,2016,4
Maryland,,2016,10
Massachusetts,,2016,11
Michigan,,2016,16
Minnesota,,2016,10
Mississippi,,2016,6
Missouri,,2016,10
Montana,,2016,3
Nebraska,,2016,5
Nevada,,2016,6
NewHampshire,,2016,4
NewJersey,,2016,14
NewMexico,,2016,5
NewYork,,2016,29
NorthCarolina,,2016,15
NorthDakota,,2016,3
Ohio,,2016,18
Oklahoma,,2016,7
Oregon,,2016,7
Pennsylvania,,2016,20
RhodeIsland,,2016,4
SouthCarolina,,2016,9
SouthDakota,,2016,3
Tennessee,,2016,11
Texas,,2016,38
Utah,,2016,6
Vermont,,2016,3
Virginia,,2016,13
Washington,,2016,12
WestVirginia,,2016,5
Wisconsin,,2016,10
Wyoming,,2016,3
