name,Data
Costa Rica,5105526
Nicaragua,6823619
St-Martin,27545
Sint Maarten,42775
Haiti,11637402
Dominican Rep.,11331269
El Salvador,6309629
Guatemala,18124841
USNB Guantanamo Bay,0
Cuba,11019932
Honduras,10644853
United States of America,343477330
Canada,39299098
Mexico,129739761
Belize,411112
Panama,4458758
Greenland,55951
Curaçao,185437
Aruba,107946
Bahamas,399452
Turks and Caicos Is.,46221
St. Pierre and Miquelon,5707
Trinidad and Tobago,1502938
Grenada,117094
St. Vin. and Gren.,101331
Barbados,282347
Saint Lucia,179291
Dominica,66531
U.S. Minor Outlying Is.,0
Montserrat,4440
Antigua and Barb.,93331
St. Kitts and Nevis,46783
U.S. Virgin Is.,85712
St-Barthélemy,11112
Puerto Rico,3242022
Anguilla,14435
British Virgin Is.,39009
Jamaica,2839785
Cayman Is.,73055
Bermuda,64721
Bajo Nuevo Bank,0
Serranilla Bank,0
Indonesia,281190068
Malaysia,35126295
Dhekelia,0
Cyprus,0
India,1438069597
China,1422584930
Israel,9256311
Palestine,5409201
Lebanon,5773494
Syria,23594623
South Korea,51748744
North Korea,26418196
Bhutan,786386
Oman,5049267
Uzbekistan,35652311
Kazakhstan,20330109
Tajikistan,10389807
Mongolia,3431938
Vietnam,100352189
Cambodia,17423884
United Arab Emirates,10642089
Georgia,3807494
Azerbaijan,10318209
Turkey,87270502
Laos,7665001
Kyrgyzstan,7073523
Armenia,2943398
Iraq,45074055
Iran,90608708
Qatar,2979086
Saudi Arabia,33264289
Pakistan,247504505
Thailand,71702436
Kuwait,4838781
Timor-Leste,1384292
Brunei,458959
Myanmar,54133800
Bangladesh,171466986
Afghanistan,41454762
Turkmenistan,7364437
Jordan,11439220
Nepal,29694614
Yemen,39390800
Hong Kong,7442738
N. Cyprus,1344981
Cyprus U.N. Buffer Zone,0
Siachen Glacier,0
Baikonur,0
Akrotiri,0
Philippines,114891199
Sri Lanka,22971615
Taiwan,23317145
Japan,124370947
Indian Ocean Ter.,0
Singapore,5789092
Bahrain,1569674
Spratly Is.,0
Macao,713916
Scarborough Reef,0
Chile,19658833
Bolivia,12244161
Peru,33845616
Argentina,45538402
Suriname,628892
Guyana,826357
Brazil,211140731
Uruguay,3388083
Ecuador,17980079
Colombia,52321152
Paraguay,6844150
Brazilian I.,0
Venezuela,28300861
Southern Patagonian Ice Field,0
Falkland Is.,3498
Ethiopia,128691695
S. Sudan,11483370
Somalia,18358622
Kenya,55339007
Malawi,21104480
Tanzania,66617607
Somaliland,0
Morocco,37712516
W. Sahara,579734
Congo,6182890
Dem. Rep. Congo,105789733
Namibia,2963102
South Africa,63212386
Libya,7305659
Tunisia,12200434
Zambia,20723967
Sierra Leone,8460523
Guinea,14405469
Liberia,5493035
Central African Rep.,5152415
Sudan,50042800
Djibouti,1152951
Eritrea,3470391
Côte d'Ivoire,31165653
Mali,23769130
Senegal,18077573
Nigeria,227882949
Benin,14111035
Angola,36749909
Botswana,2480242
Zimbabwe,16340829
Chad,19319075
Algeria,46164222
Mozambique,33635163
eSwatini,1230507
Burundi,13689455
Rwanda,13954473
Uganda,48656606
Lesotho,2311476
Cameroon,28372690
Gabon,2484790
Niger,26159863
Burkina Faso,23025777
Togo,8223853
Ghana,33787916
Guinea-Bissau,2153343
Egypt,114535772
Mauritania,5022442
Eq. Guinea,1847556
Gambia,2697846
Bir Tawil,0
Madagascar,31195937
Comoros,850390
São Tomé and Principe,230882
Cabo Verde,522335
France,66438828
Ukraine,37732833
Belarus,9115679
Lithuania,2854104
Russia,145440502
Czechia,10809722
Germany,84548233
Estonia,1367195
Latvia,1882399
Norway,5519167
Sweden,10551493
Finland,5601185
Luxembourg,665101
Belgium,11712891
North Macedonia,1831800
Albania,2811660
Kosovo,1700039
Spain,47911583
Denmark,5948134
Romania,19118482
Hungary,9686465
Slovakia,5518057
Poland,38762847
Ireland,5196629
United Kingdom,68682965
Greece,10242910
Austria,9130434
Italy,59499452
Switzerland,8870564
Netherlands,18092526
Liechtenstein,39622
Serbia,6773204
Croatia,3896023
Slovenia,2118394
Bulgaria,6795805
San Marino,33761
Monaco,38979
Andorra,80869
Montenegro,633553
Bosnia and Herz.,3185072
Portugal,10430735
Moldova,3067072
Gibraltar,38493
Vatican,501
Iceland,387559
Malta,532964
Jersey,103680
Guernsey,64043
Isle of Man,84182
Åland,0
Faeroe Is.,54738
Papua New Guinea,10389638
Australia,26451126
Fiji,924150
New Zealand,5172837
New Caledonia,289879
Pitcairn Is.,0
Fr. Polynesia,281125
Kiribati,132540
Marshall Is.,38849
Norfolk Island,0
Cook Is.,14244
Tonga,104613
Wallis and Futuna Is.,11394
Samoa,216673
Solomon Is.,800014
Tuvalu,9837
Nauru,11900
Micronesia,112646
Vanuatu,320422
Niue,1841
American Samoa,47544
Palau,17751
Guam,166522
N. Mariana Is.,45166
Coral Sea Is.,0
Ashmore and Cartier Is.,0
Antarctica,1005000
Fr. S. Antarctic Lands,0
Seychelles,127961
Heard I. and McDonald Is.,0
Saint Helena,5316
Mauritius,1273591
Br. Indian Ocean Ter.,0
Maldives,526009
S. Geo. and the Is.,0
Clipperton I.,0
