NAME_1,Data,Color
Andhra Pradesh ,604228.6195319999,
Arunachal Pradesh,18509.16,
Assam,227958.82836413325,
Bihar,371601.7901542762,
Chhattisgarh,225162.99,
Goa,55053.85314152223,
Gujarat,1029009.7408125672,
Haryana,495504.1064016296,
Himachal Pradesh,114239.40708921342,
Jharkhand,206612.8,
Karnataka,1045168.0997677989,
Kerala,561993.6112846457,
Madhya Pradesh,541067.51,
Maharashtra,1966224.5795943553,
Manipur,19530.67,
Meghalaya,25117.36374083773,
Mizoram,15138.856960778097,
Nagaland,19523.949396,
Odisha,328549.5029936412,
Punjab,390087.44,
Rajasthan,681482.25611,
Sikkim,18033.94257129716,
Tamil Nadu,1176500.031415976,
Telangana,577902.0551910375,
Tripura,35937.73,
Uttar Pradesh,1137807.9408069921,
Uttarakhand,177163.0225282832,
West Bengal,797299.9486067505,
Andaman & Nicobar Islands,6031.734889429159,
Chandigarh,29275.078048364398,
Delhi,550803.702398096,
Jammu & Kashmir-UT *,117167.95243207287,
Puducherry,26616.537907,
"* For the years 2011-12 to 2018-19, information relates to Jammu and Kashmir and Ladakh and for the years 2019-20 to 2022-23, relates to UT of Jammu and Kashmir",,
