Tabelle: 12411-0001
Bevölkerung: Deutschland, Stichtag;
Fortschreibung des Bevölkerungsstandes;;
Deutschland;;
;Bevölkerungsstand;Bevölkerungsstand
;Anzahl;Anzahl
31.12.1950;50958125;e
31.12.1951;51434777;e
31.12.1952;51863761;e
31.12.1953;52453806;e
31.12.1954;52943295;e
31.12.1955;53517683;e
31.12.1956;53339626;e
31.12.1957;54064365;e
31.12.1958;54719159;e
31.12.1959;55257088;e
31.12.1960;55958321;e
31.12.1961;56589148;e
31.12.1962;57247246;e
31.12.1963;57864509;e
31.12.1964;58587451;e
31.12.1965;59296591;e
31.12.1966;59792934;e
31.12.1967;59948474;e
31.12.1968;60463033;e
31.12.1969;61194591;e
31.12.1970;61001164;e
31.12.1971;61502503;e
31.12.1972;61809378;e
31.12.1973;62101369;e
31.12.1974;61991475;e
31.12.1975;61644624;e
31.12.1976;61441996;e
31.12.1977;61352745;e
31.12.1978;61321663;e
31.12.1979;61439342;e
31.12.1980;61657945;e
31.12.1981;61712689;e
31.12.1982;61546101;e
31.12.1983;61306669;e
31.12.1984;61049256;e
31.12.1985;61020474;e
31.12.1986;61140461;e
31.12.1987;61238079;e
31.12.1988;61715103;e
31.12.1989;62679035;e
31.12.1990;79753227;e
31.12.1991;80274564;e
31.12.1992;80974632;e
31.12.1993;81338093;e
31.12.1994;81538603;e
31.12.1995;81817499;e
31.12.1996;82012162;e
31.12.1997;82057379;e
31.12.1998;82037011;e
31.12.1999;82163475;e
31.12.2000;82259540;e
31.12.2001;82440309;e
31.12.2002;82536680;e
31.12.2003;82531671;e
31.12.2004;82500849;e
31.12.2005;82437995;e
31.12.2006;82314906;e
31.12.2007;82217837;e
31.12.2008;82002356;e
31.12.2009;81802257;e
31.12.2010;81751602;e
31.12.2011;80327900;e
31.12.2012;80523746;e
31.12.2013;80767463;e
31.12.2014;81197537;e
31.12.2015;82175684;e
31.12.2016;82521653;e
31.12.2017;82792351;e
31.12.2018;83019213;e
31.12.2019;83166711;e
31.12.2020;83155031;e
31.12.2021;83237124;e
31.12.2022;83118501;e
31.12.2023;83456045;e
31.12.2024;83577140;e
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
Ab 2022: Ergebnisse auf Grundlage des Zensus 2022."
© Statistisches Bundesamt (Destatis), 2026
Stand: 15.06.2026 / 15:19:38
