Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2020;31.12.2021;31.12.2021;31.12.2022;31.12.2022;31.12.2023;31.12.2023;31.12.2024;31.12.2024
01001;Flensburg, kreisfreie Stadt;89934;e;91113;e;96217;e;96431;e;96326;e
01002;Kiel, kreisfreie Stadt;246601;e;246243;e;250064;e;251751;e;252668;e
01003;Lübeck, kreisfreie Stadt;215846;e;216277;e;216097;e;217061;e;216889;e
01004;Neumünster, kreisfreie Stadt;79905;e;79496;e;78858;e;79461;e;79809;e
01051;Dithmarschen, Landkreis;133251;e;133969;e;133104;e;133514;e;133460;e
01053;Herzogtum Lauenburg, Landkreis;199152;e;200819;e;204237;e;205445;e;206235;e
01054;Nordfriesland, Landkreis;167147;e;167560;e;168886;e;170048;e;170029;e
01055;Ostholstein, Landkreis;201487;e;202014;e;200802;e;201529;e;201472;e
01056;Pinneberg, Landkreis;317085;e;318326;e;321849;e;323762;e;325223;e
01057;Plön, Landkreis;129353;e;129687;e;130494;e;130635;e;130609;e
01058;Rendsburg-Eckernförde, Landkreis;274765;e;276053;e;276964;e;277888;e;278058;e
01059;Schleswig-Flensburg, Landkreis;202647;e;203799;e;204255;e;204761;e;205472;e
01060;Segeberg, Landkreis;278007;e;280400;e;279922;e;282268;e;283562;e
01061;Steinburg, Landkreis;130706;e;130843;e;131712;e;132447;e;132731;e
01062;Stormarn, Landkreis;244989;e;245406;e;245822;e;246201;e;246974;e
02000;Hamburg, kreisfreie Stadt;1852478;e;1853935;e;1832675;e;1851596;e;1862565;e
03101;Braunschweig, kreisfreie Stadt;248561;e;248823;e;253194;e;253527;e;252962;e
03102;Salzgitter, kreisfreie Stadt;103866;e;103694;e;104564;e;105056;e;104970;e
03103;Wolfsburg, kreisfreie Stadt;123840;e;123949;e;127990;e;129347;e;129560;e
03151;Gifhorn, Landkreis;177227;e;177919;e;175361;e;175876;e;175943;e
03152;Göttingen, Landkreis (bis 31.10.2016);-;;-;;-;;-;;-;
03153;Goslar, Landkreis;134688;e;134050;e;127856;e;127712;e;126775;e
03154;Helmstedt, Landkreis;91518;e;91379;e;90985;e;90692;e;90227;e
03155;Northeim, Landkreis;131772;e;131765;e;126598;e;126310;e;125623;e
03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;;-;;-;;-;;-;
03157;Peine, Landkreis;135844;e;136960;e;136719;e;136983;e;137045;e
03158;Wolfenbüttel, Landkreis;119361;e;119224;e;118296;e;118540;e;118290;e
03159;Göttingen, Landkreis;323900;e;323661;e;328039;e;328657;e;328028;e
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;;-;;-;;-;;-;
03241;Region Hannover, Landkreis;1155330;e;1157541;e;1134284;e;1138943;e;1140888;e
03251;Diepholz, Landkreis;218072;e;218839;e;219641;e;220743;e;221202;e
03252;Hameln-Pyrmont, Landkreis;148580;e;148963;e;150717;e;150535;e;150203;e
03253;Hannover, Landkreis (bis 31.10.2001);-;;-;;-;;-;;-;
03254;Hildesheim, Landkreis;275464;e;274773;e;268062;e;268318;e;267506;e
03255;Holzminden, Landkreis;70207;e;69862;e;66288;e;66088;e;65581;e
03256;Nienburg (Weser), Landkreis;121645;e;121773;e;121295;e;121723;e;121468;e
03257;Schaumburg, Landkreis;158406;e;158108;e;156747;e;157051;e;156841;e
03351;Celle, Landkreis;179386;e;179915;e;172477;e;172871;e;172449;e
03352;Cuxhaven, Landkreis;198826;e;199603;e;198898;e;199390;e;198842;e
03353;Harburg, Landkreis;256016;e;257548;e;262954;e;264767;e;265864;e
03354;Lüchow-Dannenberg, Landkreis;48503;e;48472;e;46791;e;46815;e;46502;e
03355;Lüneburg, Landkreis;184235;e;185129;e;178099;e;179403;e;179448;e
03356;Osterholz, Landkreis;114640;e;115054;e;113800;e;113784;e;113598;e
03357;Rotenburg (Wümme), Landkreis;164486;e;165001;e;164657;e;165561;e;165904;e
03358;Heidekreis;140885;e;142912;e;143728;e;141627;e;141321;e
03359;Stade, Landkreis;205357;e;206496;e;206375;e;207659;e;207700;e
03360;Uelzen, Landkreis;92566;e;92894;e;91059;e;91832;e;91638;e
03361;Verden, Landkreis;137574;e;138507;e;137793;e;138273;e;138626;e
03401;Delmenhorst, kreisfreie Stadt;77503;e;77522;e;81148;e;81746;e;81406;e
03402;Emden, kreisfreie Stadt;49874;e;49523;e;49563;e;49701;e;49202;e
03403;Oldenburg (Oldenburg), kreisfreie Stadt;169605;e;170389;e;174445;e;176242;e;176614;e
03404;Osnabrück, kreisfreie Stadt;164223;e;165034;e;165741;e;165686;e;166057;e
03405;Wilhelmshaven, kreisfreie Stadt;75189;e;75027;e;75860;e;76010;e;75745;e
03451;Ammerland, Landkreis;125643;e;126475;e;126390;e;127292;e;127751;e
03452;Aurich, Landkreis;190178;e;190425;e;188402;e;188960;e;188816;e
03453;Cloppenburg, Landkreis;172632;e;173980;e;175549;e;176540;e;177025;e
03454;Emsland, Landkreis;328930;e;331397;e;331711;e;334203;e;334539;e
03455;Friesland, Landkreis;98971;e;98971;e;100089;e;100461;e;100411;e
03456;Grafschaft Bentheim, Landkreis;137891;e;138722;e;143472;e;144212;e;144543;e
03457;Leer, Landkreis;171483;e;172421;e;169390;e;169111;e;169103;e
03458;Oldenburg, Landkreis;131467;e;132091;e;131228;e;131965;e;132008;e
03459;Osnabrück, Landkreis;359471;e;361550;e;356060;e;356194;e;354821;e
03460;Vechta, Landkreis;143698;e;144805;e;145552;e;146400;e;146539;e
03461;Wesermarsch, Landkreis;88524;e;88430;e;89127;e;89316;e;88936;e
03462;Wittmund, Landkreis;57384;e;57455;e;55953;e;56013;e;55969;e
04011;Bremen, kreisfreie Stadt;566573;e;563290;e;576947;e;584332;e;586271;e
04012;Bremerhaven, kreisfreie Stadt;113557;e;113173;e;118811;e;118323;e;118610;e
05111;Düsseldorf, kreisfreie Stadt;620523;e;619477;e;614399;e;616319;e;618685;e
05112;Duisburg, kreisfreie Stadt;495885;e;495152;e;501671;e;503185;e;502270;e
05113;Essen, kreisfreie Stadt;582415;e;579432;e;572237;e;574082;e;574682;e
05114;Krefeld, kreisfreie Stadt;226844;e;227050;e;230375;e;230393;e;231406;e
05116;Mönchengladbach, kreisfreie Stadt;259665;e;261001;e;267333;e;267667;e;267213;e
05117;Mülheim an der Ruhr, kreisfreie Stadt;170921;e;170739;e;172054;e;172887;e;173050;e
05119;Oberhausen, kreisfreie Stadt;209566;e;208752;e;213252;e;213510;e;213646;e
05120;Remscheid, kreisfreie Stadt;111516;e;111770;e;113731;e;114061;e;113828;e
05122;Solingen, kreisfreie Stadt;159193;e;158957;e;165229;e;166078;e;165626;e
05124;Wuppertal, kreisfreie Stadt;355004;e;354572;e;358568;e;358592;e;358193;e
05154;Kleve, Landkreis;313586;e;314676;e;317411;e;319928;e;322018;e
05158;Mettmann, Landkreis;484322;e;484411;e;489246;e;489760;e;490910;e
05162;Rhein-Kreis Neuss;452001;e;452496;e;455818;e;457398;e;457077;e
05166;Viersen, Landkreis;298536;e;298761;e;295362;e;297504;e;297857;e
05170;Wesel, Landkreis;460113;e;460433;e;455854;e;457545;e;457918;e
05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;;-;;-;;-;;-;
05314;Bonn, kreisfreie Stadt;330579;e;331885;e;322221;e;321680;e;323336;e
05315;Köln, kreisfreie Stadt;1083498;e;1073096;e;1021253;e;1024408;e;1024621;e
05316;Leverkusen, kreisfreie Stadt;163905;e;163851;e;167174;e;167850;e;168581;e
05334;Städteregion Aachen, Landkreis;556631;e;556673;e;580359;e;582463;e;582410;e
05354;Aachen, Landkreis (bis 20.10.2009);-;;-;;-;;-;;-;
05358;Düren, Landkreis;265140;e;266771;e;276675;e;278462;e;279285;e
05362;Rhein-Erft-Kreis;469611;e;471891;e;473669;e;476412;e;477988;e
05366;Euskirchen, Landkreis;194359;e;194701;e;199228;e;201841;e;202609;e
05370;Heinsberg, Landkreis;256458;e;258306;e;261239;e;262149;e;263681;e
05374;Oberbergischer Kreis;271699;e;271621;e;273634;e;273963;e;274057;e
05378;Rheinisch-Bergischer Kreis;283275;e;283429;e;283037;e;283607;e;284273;e
05382;Rhein-Sieg-Kreis;600375;e;600732;e;602933;e;605283;e;605441;e
05512;Bottrop, kreisfreie Stadt;117388;e;117311;e;118327;e;118912;e;118535;e
05513;Gelsenkirchen, kreisfreie Stadt;259105;e;260126;e;264644;e;267284;e;267930;e
05515;Münster, kreisfreie Stadt;316403;e;317713;e;305222;e;307071;e;308258;e
05554;Borken, Landkreis;371898;e;373582;e;377154;e;379787;e;380796;e
05558;Coesfeld, Landkreis;220712;e;221352;e;224745;e;226217;e;227859;e
05562;Recklinghausen, Landkreis;613599;e;612801;e;621933;e;622855;e;621305;e
05566;Steinfurt, Landkreis;448197;e;450176;e;447192;e;450042;e;451712;e
05570;Warendorf, Landkreis;277417;e;278176;e;281090;e;282216;e;282639;e
05711;Bielefeld, kreisfreie Stadt;333509;e;334002;e;331385;e;331519;e;331605;e
05754;Gütersloh, Landkreis;364818;e;366104;e;361931;e;363674;e;363982;e
05758;Herford, Landkreis;250547;e;250635;e;254949;e;254593;e;254404;e
05762;Höxter, Landkreis;139729;e;139994;e;138943;e;139042;e;139252;e
05766;Lippe, Landkreis;346970;e;346151;e;348275;e;347613;e;347149;e
05770;Minden-Lübbecke, Landkreis;310270;e;311214;e;320648;e;320925;e;320557;e
05774;Paderborn, Landkreis;308335;e;309380;e;313921;e;315606;e;315912;e
05911;Bochum, kreisfreie Stadt;364454;e;363441;e;356209;e;357024;e;358676;e
05913;Dortmund, kreisfreie Stadt;587696;e;586852;e;599370;e;601343;e;603462;e
05914;Hagen, kreisfreie Stadt;188687;e;188713;e;189957;e;190640;e;190384;e
05915;Hamm, kreisfreie Stadt;178967;e;179238;e;179479;e;179380;e;179968;e
05916;Herne, kreisfreie Stadt;156940;e;156621;e;155603;e;156154;e;155851;e
05954;Ennepe-Ruhr-Kreis;323130;e;322143;e;315325;e;315069;e;314167;e
05958;Hochsauerlandkreis;259030;e;258615;e;261006;e;261193;e;260843;e
05962;Märkischer Kreis;408662;e;406793;e;410629;e;408899;e;408046;e
