Entity,Code,Year,Population
Aachen,05313,2020,
Aachen,05354,2020,
Aachen,05313,2021,
Aachen,05354,2021,
Aachen,05313,2022,
Aachen,05354,2022,
Aachen,05313,2023,
Aachen,05354,2023,
Aachen,05313,2024,
Aachen,05354,2024,
Ahrweiler,07131,2020,130479.0
Ahrweiler,07131,2021,128146.0
Ahrweiler,07131,2022,127881.0
Ahrweiler,07131,2023,128546.0
Ahrweiler,07131,2024,129353.0
Aichach-Friedberg,09771,2020,135024.0
Aichach-Friedberg,09771,2021,135538.0
Aichach-Friedberg,09771,2022,135133.0
Aichach-Friedberg,09771,2023,136430.0
Aichach-Friedberg,09771,2024,136803.0
Alb-Donau-Kreis,08425,2020,198204.0
Alb-Donau-Kreis,08425,2021,199732.0
Alb-Donau-Kreis,08425,2022,200294.0
Alb-Donau-Kreis,08425,2023,201769.0
Alb-Donau-Kreis,08425,2024,202354.0
Altenburger Land,16077,2020,88356.0
Altenburger Land,16077,2021,87807.0
Altenburger Land,16077,2022,88034.0
Altenburger Land,16077,2023,87955.0
Altenburger Land,16077,2024,87508.0
Altenkirchen (Westerwald),07132,2020,129087.0
Altenkirchen (Westerwald),07132,2021,129261.0
Altenkirchen (Westerwald),07132,2022,131657.0
Altenkirchen (Westerwald),07132,2023,132149.0
Altenkirchen (Westerwald),07132,2024,132125.0
Altmarkkreis Salzwedel,15081,2020,82687.0
Altmarkkreis Salzwedel,15081,2021,81986.0
Altmarkkreis Salzwedel,15081,2022,81369.0
Altmarkkreis Salzwedel,15081,2023,80780.0
Altmarkkreis Salzwedel,15081,2024,79980.0
Altmarkkreis Salzwedel (bis 30.06.2007),15370,2020,
Altmarkkreis Salzwedel (bis 30.06.2007),15370,2021,
Altmarkkreis Salzwedel (bis 30.06.2007),15370,2022,
Altmarkkreis Salzwedel (bis 30.06.2007),15370,2023,
Altmarkkreis Salzwedel (bis 30.06.2007),15370,2024,
Altötting,09171,2020,111654.0
Altötting,09171,2021,112116.0
Altötting,09171,2022,112296.0
Altötting,09171,2023,113018.0
Altötting,09171,2024,113938.0
Alzey-Worms,07331,2020,130715.0
