Durchschnittliche Bevölkerung: Bundesländer, Jahre,;;;;;;;;;;
Nationalität, Geschlecht;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;
Durchschnittliche Bevölkerung (Anzahl);;;;;;;;;;;;;;;;;;;
;;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;männlich;männlich;weiblich;weiblich;Insgesamt;Insgesamt;männlich;männlich;weiblich;weiblich;Insgesamt;Insgesamt;männlich;männlich;weiblich;weiblich;Insgesamt;Insgesamt
2024;Baden-Württemberg;4517043;e;4688802;e;9205845;e;1058747;e;973727;e;2032474;e;5575790;e;5662529;e;11238319;e
2024;Bayern;5469942;e;5693287;e;11163228;e;1081095;e;968355;e;2049449;e;6551036;e;6661641;e;13212677;e
2024;Berlin;1384384;e;1474651;e;2859035;e;418950;e;395838;e;814788;e;1803334;e;1870489;e;3673823;e
2024;Brandenburg;1161019;e;1214822;e;2375840;e;97003;e;82763;e;179766;e;1258021;e;1297585;e;2555606;e
2024;Bremen;265370;e;279812;e;545182;e;82533;e;76054;e;158586;e;347903;e;355866;e;703768;e
2024;Hamburg;722822;e;780040;e;1502862;e;186250;e;167970;e;354219;e;909071;e;948010;e;1857081;e
2024;Hessen;2503737;e;2624175;e;5127912;e;591391;e;554867;e;1146258;e;3095128;e;3179042;e;6274170;e
2024;Mecklenburg-Vorpommern;719018;e;759698;e;1478716;e;52474;e;44630;e;97104;e;771491;e;804328;e;1575819;e
2024;Niedersachsen;3465808;e;3616437;e;7082245;e;485614;e;438453;e;924067;e;3951422;e;4054890;e;8006312;e
2024;Nordrhein-Westfalen;7400947;e;7799486;e;15200433;e;1464803;e;1360751;e;2825554;e;8865750;e;9160237;e;18025987;e
2024;Rheinland-Pfalz;1743259;e;1817465;e;3560723;e;299362;e;267281;e;566643;e;2042621;e;2084746;e;4127366;e
2024;Saarland;420350;e;441674;e;862024;e;78537;e;72534;e;151070;e;498887;e;514208;e;1013094;e
2024;Sachsen;1818185;e;1909482;e;3727667;e;175515;e;145374;e;320889;e;1993700;e;2054856;e;4048556;e
2024;Sachsen-Anhalt;962251;e;1019691;e;1981941;e;88204;e;69939;e;158143;e;1050454;e;1089630;e;2140084;e
2024;Schleswig-Holstein;1289070;e;1367290;e;2656360;e;156826;e;143175;e;300000;e;1445895;e;1510465;e;2956360;e
2024;Thüringen;947244;e;988707;e;1935950;e;94072;e;77552;e;171624;e;1041316;e;1066258;e;2107574;e
