Gemeente;Totaal;Jonger dan 10;10 tot 20;20 tot 30;40 tot 50;50 tot 60;30 tot 40;60 tot 70;70 tot 80;80 of ouder
Aa en Hunze;100;116;107;123;96;97;98;101;96;70
Aalsmeer;99;108;104;108;92;103;93;103;98;65
Aalten;101;102;113;114;98;104;106;100;94;68
Achtkarspelen;104;106;114;117;103;108;103;102;101;63
Alblasserdam;97;108;102;103;95;95;102;103;83;66
Albrandswaard;99;109;108;109;96;97;93;102;93;63
Alkmaar;98;106;108;102;100;101;101;93;90;65
Almelo;100;107;104;110;101;105;106;95;92;64
Almere;99;105;104;103;92;96;97;100;99;68
Alphen aan den Rijn;99;105;103;107;100;103;101;96;94;68
Alphen-Chaam;104;111;112;116;96;106;89;111;103;82
Altena;101;105;110;108;100;104;102;100;95;69
Ameland;102;113;102;109;104;103;105;97;96;79
Amersfoort;98;104;106;103;97;99;99;98;90;59
Amstelveen;93;104;107;95;96;94;96;92;82;58
Amsterdam;98;106;100;87;103;107;104;101;92;65
Apeldoorn;100;108;109;107;98;103;104;98;90;65
Arnhem;100;106;106;102;101;105;104;98;89;64
Assen;98;108;109;106;98;100;102;92;89;63
Asten;104;112;109;110;101;103;111;106;102;69
Baarle-Nassau;102;112;112;99;113;98;93;105;101;78
Baarn;94;106;109;104;96;96;99;93;84;58
Barendrecht;97;109;104;115;87;101;89;98;88;71
Barneveld;100;107;107;104;101;97;102;104;90;64
Beek (L.);95;103;89;103;93;95;103;101;93;67
Beekdaelen;99;107;111;109;99;101;98;100;97;67
Beesel;101;110;106;112;103;103;97;104;96;67
Berg en Dal;99;105;113;118;94;99;100;100;97;62
Bergeijk;105;105;114;112;102;105;113;109;100;73
Bergen (L.);101;98;98;109;99;103;108;102;107;75
Bergen (NH.);93;105;100;122;89;92;95;93;86;72
Bergen op Zoom;99;109;103;108;97;100;100;98;95;69
Berkelland;100;103;107;114;100;103;105;101;96;66
Bernheze;103;107;106;115;104;104;99;103;100;72
Best;99;102;106;106;91;98;104;104;98;72
Beuningen;100;104;110;113;99;96;101;98;101;66
Beverwijk;101;105;109;105;100;108;106;100;93;62
De Bilt;93;109;108;107;93;91;92;95;83;57
Bladel;103;106;113;110;104;106;108;105;95;70
Blaricum;96;107;107;119;99;96;80;87;94;80
Bloemendaal;94;113;101;114;88;97;82;96;91;66
Bodegraven-Reeuwijk;100;103;108;108;102;99;101;103;93;69
Boekel;104;96;108;108;101;109;107;112;106;71
Borger-Odoorn;100;101;109;114;97;98;103;98;104;74
Borne;99;103;117;107;103;97;96;95;95;74
Borsele;103;102;107;120;97;104;106;103;102;75
Boxtel;99;103;102;111;98;99;105;100;96;68
Breda;97;103;103;97;97;101;103;97;91;65
Brielle;97;105;103;104;93;100;102;99;90;71
Bronckhorst;100;102;100;116;95;102;105;106;98;67
Brummen;99;107;108;107;97;99;103;98;96;69
Brunssum;97;110;103;109;99;94;109;99;91;59
Bunnik;98;106;114;109;100;100;88;98;90;67
Bunschoten;100;102;99;103;102;104;102;101;91;67
Buren;101;103;103;111;99;104;99;104;100;69
Capelle aan den IJssel;94;107;103;103;95;91;93;90;92;60
Castricum;97;112;100;111;95;95;99;102;92;69
Coevorden;100;105;106;115;102;99;102;99;98;69
Cranendonck;102;107;105;123;103;102;106;99;98;69
Culemborg;98;111;111;102;97;97;99;98;85;67
Dalfsen;102;105;105;118;98;106;101;103;103;71
