Entity,Code,Year,all years
Aa en Hunze,,1988,24824.0
Aa en Hunze,,2000,24824.0
Aa en Hunze,,2005,25329.0
Aa en Hunze,,2019,25386.0
Aa en Hunze,,2020,25445.0
Aalburg,,1988,10597.0
Aalburg,,2000,11774.0
Aalburg,,2005,12164.0
Aalburg,,2019,12164.0
Aalburg,,2020,12164.0
Aalsmeer,,1988,21740.0
Aalsmeer,,2000,22461.0
Aalsmeer,,2005,23296.0
Aalsmeer,,2019,31728.0
Aalsmeer,,2020,31859.0
Aalten,,1988,18142.0
Aalten,,2000,18699.0
Aalten,,2005,27446.0
Aalten,,2019,27011.0
Aalten,,2020,27121.0
Ter Aar,,1988,9098.0
Ter Aar,,2000,9074.0
Ter Aar,,2005,8999.0
Ter Aar,,2019,8999.0
Ter Aar,,2020,8999.0
Aardenburg,,1988,3821.0
Aardenburg,,2000,3821.0
Aardenburg,,2005,3821.0
Aardenburg,,2019,3821.0
Aardenburg,,2020,3821.0
Aarle-Rixtel,,1988,5602.0
Aarle-Rixtel,,2000,5602.0
Aarle-Rixtel,,2005,5602.0
Aarle-Rixtel,,2019,5602.0
Aarle-Rixtel,,2020,5602.0
Abcoude,,1988,7549.0
Abcoude,,2000,8482.0
Abcoude,,2005,8603.0
Abcoude,,2019,8603.0
Abcoude,,2020,8603.0
Achtkarspelen,,1988,27382.0
Achtkarspelen,,2000,28011.0
Achtkarspelen,,2005,28134.0
Achtkarspelen,,2019,27852.0
Achtkarspelen,,2020,27843.0
Adorp,,1988,1848.0
Adorp,,2000,1848.0
Adorp,,2005,1848.0
Adorp,,2019,1848.0
Adorp,,2020,1848.0
Aduard,,1988,3024.0
Aduard,,2000,3024.0
Aduard,,2005,3024.0
Aduard,,2019,3024.0
Aduard,,2020,3024.0
Akersloot,,1988,5020.0
Akersloot,,2000,4907.0
Akersloot,,2005,4907.0
Akersloot,,2019,4907.0
Akersloot,,2020,4907.0
Alblasserdam,,1988,17183.0
Alblasserdam,,2000,18183.0
Alblasserdam,,2005,18356.0
