Entity,Code,Year,all years
Abbeville,,2020,24212
Abbeville,,2021,24299
Acadia,,2020,57455
Acadia,,2021,57288
Accomack,,2020,33348
Accomack,,2021,33246
Ada,,2020,497984
Ada,,2021,511931
Adair,,2020,7477
Adair,,2020,18870
Adair,,2020,25246
Adair,,2020,19415
Adair,,2021,7541
Adair,,2021,18932
Adair,,2021,25185
Adair,,2021,19414
Adams,,2020,520163
Adams,,2020,4424
Adams,,2020,65530
Adams,,2020,35826
Adams,,2020,3697
Adams,,2020,29405
Adams,,2020,31147
Adams,,2020,2188
Adams,,2020,27434
Adams,,2020,103795
Adams,,2020,20605
Adams,,2020,20673
Adams,,2021,522140
Adams,,2021,4625
Adams,,2021,64954
Adams,,2021,35961
Adams,,2021,3641
Adams,,2021,28742
Adams,,2021,31027
Adams,,2021,2167
Adams,,2021,27542
Adams,,2021,104127
Adams,,2021,20621
Adams,,2021,20875
Addison,,2020,37292
Addison,,2021,37260
Aiken,,2020,169032
Aiken,,2021,170776
Aitkin,,2020,15693
Aitkin,,2021,15887
Alachua,,2020,278684
Alachua,,2021,279238
Alamance,,2020,171842
Alamance,,2021,173877
Alameda,,2020,1679844
Alameda,,2021,1648556
Alamosa,,2020,16362
Alamosa,,2021,16547
Albany,,2020,314368
Albany,,2020,37079
Albany,,2021,313743
Albany,,2021,37608
Albemarle,,2020,112496
Albemarle,,2021,113535
Alcona,,2020,10158
Alcona,,2021,10235
Alcorn,,2020,34680
Alcorn,,2021,34349
Aleutians East,,2020,3418
Aleutians East,,2021,3398
Aleutians West,,2020,5206
Aleutians West,,2021,5059
Alexander,,2020,5168
Alexander,,2020,36430
Alexander,,2021,5030
Alexander,,2021,36644
Alexandria city,,2020,159097
Alexandria city,,2021,154706
Alfalfa,,2020,5713
Alfalfa,,2021,5710
Alger,,2020,8834
Alger,,2021,8821
Allamakee,,2020,14067
Allamakee,,2021,13926
Allegan,,2020,120596
Allegan,,2021,120950
Allegany,,2020,67947
Allegany,,2020,46373
Allegany,,2021,67729
Allegany,,2021,46106
Alleghany,,2020,10899
Alleghany,,2020,15161
Alleghany,,2021,11049
Alleghany,,2021,14986
Allegheny,,2020,1248717
Allegheny,,2021,1238090
Allen,,2020,385892
Allen,,2020,12537
Allen,,2020,20595
Allen,,2020,22697
Allen,,2020,102059
Allen,,2021,388608
Allen,,2021,12464
Allen,,2021,20797
Allen,,2021,22687
Allen,,2021,101670
Allendale,,2020,7990
Allendale,,2021,7858
Alpena,,2020,28877
Alpena,,2021,28893
Alpine,,2020,1198
Alpine,,2021,1235
Amador,,2020,40541
Amador,,2021,41259
Amelia,,2020,13246
Amelia,,2021,13268
Amherst,,2020,31262
Amherst,,2021,31273
Amite,,2020,12698
Amite,,2021,12637
Anchorage,,2020,290637
Anchorage,,2021,288121
Anderson,,2020,7850
Anderson,,2020,23869
Anderson,,2020,204032
Anderson,,2020,77209
Anderson,,2020,57881
Anderson,,2021,7778
Anderson,,2021,24035
Anderson,,2021,206908
Anderson,,2021,77576
Anderson,,2021,58402
Andrew,,2020,18083
Andrew,,2021,18002
Andrews,,2020,18612
Andrews,,2021,18440
Androscoggin,,2020,111039
Androscoggin,,2021,111034
Angelina,,2020,86345
Angelina,,2021,86506
Anne Arundel,,2020,588769
Anne Arundel,,2021,590336
Anoka,,2020,364299
Anoka,,2021,367018
Anson,,2020,22030
Anson,,2021,22060
Antelope,,2020,6276
Antelope,,2021,6279
Antrim,,2020,23421
Antrim,,2021,23813
Apache,,2020,65897
Apache,,2021,65623
Appanoose,,2020,12282
Appanoose,,2021,12257
Appling,,2020,18428
Appling,,2021,18488
Appomattox,,2020,16133
Appomattox,,2021,16353
Aransas,,2020,23916
Aransas,,2021,24510
Arapahoe,,2020,655112
Arapahoe,,2021,654900
Archer,,2020,8557
Archer,,2021,8681
Archuleta,,2020,13424
Archuleta,,2021,13790
Arenac,,2020,14990
Arenac,,2021,14975
Arkansas,,2020,17105
Arkansas,,2021,16722
Arlington,,2020,238766
Arlington,,2021,232965
Armstrong,,2020,65445
Armstrong,,2020,1847
Armstrong,,2021,65093
Armstrong,,2021,1839
Aroostook,,2020,66994
Aroostook,,2021,66859
Arthur,,2020,431
Arthur,,2021,439
Ascension,,2020,126984
Ascension,,2021,128369
Ashe,,2020,26569
Ashe,,2021,26711
Ashland,,2020,52420
Ashland,,2020,15977
Ashland,,2021,52316
Ashland,,2021,16107
Ashley,,2020,18960
Ashley,,2021,18674
Ashtabula,,2020,97413
Ashtabula,,2021,97337
Asotin,,2020,22290
Asotin,,2021,22397
Assumption,,2020,20968
Assumption,,2021,20689
Atascosa,,2020,49089
Atascosa,,2021,49939
Atchison,,2020,16305
Atchison,,2020,5306
Atchison,,2021,16239
Atchison,,2021,5234
Athens,,2020,62350
Athens,,2021,62056
Atkinson,,2020,8301
Atkinson,,2021,8391
Atlantic,,2020,274191
Atlantic,,2021,274966
Atoka,,2020,14174
Atoka,,2021,14324
Attala,,2020,17828
Attala,,2021,17742
Audrain,,2020,24925
Audrain,,2021,24982
Audubon,,2020,5671
Audubon,,2021,5635
Auglaize,,2020,46411
Auglaize,,2021,46141
Augusta,,2020,77512
Augusta,,2021,77563
Aurora,,2020,2733
Aurora,,2021,2748
Austin,,2020,30109
Austin,,2021,30380
Autauga,,2020,58877
Autauga,,2021,59095
Avery,,2020,17798
Avery,,2021,17864
Avoyelles,,2020,39616
Avoyelles,,2021,39236
Baca,,2020,3486
Baca,,2021,3514
Bacon,,2020,11123
Bacon,,2021,11079
Bailey,,2020,6859
Bailey,,2021,6835
Baker,,2020,28309
Baker,,2020,2844
Baker,,2020,16689
Baker,,2021,28715
Baker,,2021,2819
Baker,,2021,16847
Baldwin,,2020,233140
Baldwin,,2020,43773
Baldwin,,2021,239294
Baldwin,,2021,43781
Ballard,,2020,7724
Ballard,,2021,7695
Baltimore,,2020,853073
Baltimore,,2021,849316
Baltimore city,,2020,583132
Baltimore city,,2021,576498
Bamberg,,2020,13251
Bamberg,,2021,13189
Bandera,,2020,20987
Bandera,,2021,21565
Banks,,2020,18069
Banks,,2021,18562
Banner,,2020,683
Banner,,2021,692
Bannock,,2020,87177
Bannock,,2021,88263
Baraga,,2020,8128
Baraga,,2021,8215
Barber,,2020,4198
Barber,,2021,4110
Barbour,,2020,25180
Barbour,,2020,15440
Barbour,,2021,24964
Barbour,,2021,15468
Barnes,,2020,10836
Barnes,,2021,10806
Barnstable,,2020,228969
Barnstable,,2021,232411
Barnwell,,2020,20567
Barnwell,,2021,20580
Barren,,2020,44445
Barren,,2021,44544
Barron,,2020,46643
Barron,,2021,46719
Barrow,,2020,83963
Barrow,,2021,86658
Barry,,2020,62548
Barry,,2020,34539
Barry,,2021,62992
Barry,,2021,34712
Bartholomew,,2020,82157
Bartholomew,,2021,82475
Barton,,2020,25419
Barton,,2020,11613
Barton,,2021,25216
